Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2024-04-01,66,65,64,63,62,63,65,67,68,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-02,67,66,65,64,63,63,65,67,68,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-03,68,67,66,65,64,63,64,66,68,69,71,73,74,75,76,77,76,75,74,72,70,69,68,67
2024-04-04,70,69,68,67,66,65,66,68,70,71,73,75,76,77,78,79,78,77,76,74,72,71,70,69
2024-04-05,69,68,67,66,65,64,65,67,69,70,72,74,75,76,77,78,77,76,75,73,71,70,69,68
2024-04-06,67,66,65,64,63,62,63,65,67,68,70,72,73,74,75,75,74,73,72,70,68,67,66,65
2024-04-07,66,65,64,63,62,61,63,65,66,68,70,71,72,73,74,75,74,73,72,70,68,67,66,65
2024-04-08,68,67,66,65,64,63,65,67,69,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-09,70,69,68,67,66,65,66,68,70,71,73,75,76,77,78,79,78,77,76,74,72,71,70,69
2024-04-10,69,68,67,66,65,64,65,67,69,70,72,74,75,76,77,78,77,76,75,73,71,70,69,68
2024-04-11,67,66,65,64,63,62,63,65,67,68,70,72,73,74,75,75,74,73,72,70,68,67,66,65
2024-04-12,66,65,64,63,62,61,63,65,66,68,70,71,72,73,74,75,74,73,72,70,68,67,66,65
2024-04-13,68,67,66,65,64,63,65,67,69,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-14,70,69,68,67,66,65,66,68,70,71,73,75,76,77,78,79,78,77,76,74,72,71,70,69
2024-04-15,69,68,67,66,65,64,65,67,69,70,72,74,75,76,77,78,77,76,75,73,71,70,69,68
2024-04-16,67,66,65,64,63,62,63,65,67,68,70,72,73,74,75,75,74,73,72,70,68,67,66,65
2024-04-17,66,65,64,63,62,61,63,65,66,68,70,71,72,73,74,75,74,73,72,70,68,67,66,65
2024-04-18,68,67,66,65,64,63,65,67,69,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-19,70,69,68,67,66,65,66,68,70,71,73,75,76,77,78,79,78,77,76,74,72,71,70,69
2024-04-20,69,68,67,66,65,64,65,67,69,70,72,74,75,76,77,78,77,76,75,73,71,70,69,68
2024-04-21,67,66,65,64,63,62,63,65,67,68,70,72,73,74,75,75,74,73,72,70,68,67,66,65
2024-04-22,66,65,64,63,62,61,63,65,66,68,70,71,72,73,74,75,74,73,72,70,68,67,66,65
2024-04-23,68,67,66,65,64,63,65,67,69,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-24,70,69,68,67,66,65,66,68,70,71,73,75,76,77,78,79,78,77,76,74,72,71,70,69
2024-04-25,69,68,67,66,65,64,65,67,69,70,72,74,75,76,77,78,77,76,75,73,71,70,69,68
2024-04-26,67,66,65,64,63,62,63,65,67,68,70,72,73,74,75,75,74,73,72,70,68,67,66,65
2024-04-27,66,65,64,63,62,61,63,65,66,68,70,71,72,73,74,75,74,73,72,70,68,67,66,65
2024-04-28,68,67,66,65,64,63,65,67,69,70,72,73,74,75,76,76,75,74,73,71,69,68,67,66
2024-04-29,70,69,68,67,66,65,66,68,70,71,73,75,76,77,78,79,78,77,76,74,72,71,70,69
2024-04-30,69,68,67,66,65,64,65,67,69,70,72,74,75,76,77,78,77,76,75,73,71,70,69,68
