Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2024-04-01,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-02,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-03,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-04,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-05,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-06,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-07,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-08,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-09,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-10,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-11,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-12,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-13,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-14,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-15,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-16,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-17,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-18,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-19,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
2024-04-20,0,0,0,0,0,0,0,6,6,8,8,8,4,4,8,8,8,4,4,4,6,6,4,0
